ItemCode,Price
103455,1362000
103454,963300
100144,540500
101129,599600
114855,701600
114856,820000
114857,916300
114896,340000
114897,360100
114898,382200
114899,481600
114780,186300
107364,83500
103275,222200
103257,233900
103279,253700
103281,325000
103338,364600
109766,83500
107100,222200
106500,233900
104274,253700
104275,325000
110156,364600
114858,988100
